A_node_name	B_node_name	Int_type_1	Source_db
uniprot:Q13153	uniprot:Q13153	2241(down-regulates activity)	signor	2
uniprot:P43403	uniprot:Q16539	0217(phosphorylation reaction)	signor	2
uniprot:P43403	uniprot:Q16539	2236(up-regulates activity)	signor	2
uniprot:Q13546	uniprot:Q9Y4K3	0462(bind)	signor	2
uniprot:Q13546	uniprot:Q9Y4K3	2236(up-regulates activity)	signor	2
uniprot:Q06124	uniprot:P12931	0203(dephosphorylation reaction)	signor	2
uniprot:Q06124	uniprot:P12931	2236(up-regulates activity)	signor	2
uniprot:Q07812	uniprot:Q07812	0462(bind)	signor	2
uniprot:Q07812	uniprot:Q07812	2236(up-regulates activity)	signor	2
uniprot:P36897	uniprot:Q15796	0217(phosphorylation reaction)	signor	2
uniprot:P36897	uniprot:Q15796	2236(up-regulates activity)	signor	2
uniprot:Q13873	uniprot:P36894	0217(phosphorylation reaction)	signor	2
uniprot:Q13873	uniprot:P36894	2235(up-regulates)	signor	2
uniprot:P49137	uniprot:P16220	2236(up-regulates activity)	signor	2
uniprot:Q13464	uniprot:P45983	0217(phosphorylation reaction)	signor	2
uniprot:Q13464	uniprot:P45983	2236(up-regulates activity)	signor	2
uniprot:O43541	uniprot:P84022	0462(bind)	signor	2
uniprot:O43541	uniprot:P84022	2241(down-regulates activity)	signor	2
uniprot:Q13253	uniprot:P12643	0462(bind)	signor	2
uniprot:Q13253	uniprot:P12643	2240(down-regulates)	signor	2
uniprot:P05412	uniprot:Q13485	0462(bind)	signor	2
uniprot:P05412	uniprot:Q13485	2236(up-regulates activity)	signor	2
uniprot:P10275	uniprot:P03372	unknown	slk2
uniprot:P10275	uniprot:P03372	0624(stimulation)	slk2
uniprot:P19793	uniprot:P03372	unknown	slk2
uniprot:P19793	uniprot:P03372	0624(stimulation)	slk2
uniprot:P46531	uniprot:P84022	unknown	slk2
uniprot:P46531	uniprot:P84022	directed	slk2
uniprot:O15105	uniprot:P37023	unknown	slk2
uniprot:O15105	uniprot:P37023	0624(stimulation)	slk2
uniprot:Q16539	uniprot:P15336	unknown	slk2
uniprot:Q16539	uniprot:P15336	0624(stimulation)	slk2
uniprot:P28482	uniprot:P84022	unknown	slk2
uniprot:P28482	uniprot:P84022	0624(stimulation)	slk2
uniprot:P45983	uniprot:P15336	unknown	slk2
uniprot:P45983	uniprot:P15336	0624(stimulation)	slk2
uniprot:P46531	uniprot:Q06413	unknown	slk2
uniprot:P46531	uniprot:Q06413	0624(stimulation)	slk2
uniprot:P19793	uniprot:Q07869	unknown	slk2
uniprot:P19793	uniprot:Q07869	0624(stimulation)	slk2
uniprot:P03372	uniprot:P84022	unknown	slk2
uniprot:P03372	uniprot:P84022	directed	slk2
uniprot:P31749	uniprot:O43524	unknown	slk2
uniprot:P31749	uniprot:O43524	0624(stimulation)	slk2
uniprot:P84022	uniprot:P03372	unknown	slk2
uniprot:P84022	uniprot:P03372	0624(stimulation)	slk2
uniprot:P29350	uniprot:O60674	unknown	slk2
uniprot:P29350	uniprot:O60674	0624(stimulation)	slk2
uniprot:O15105	uniprot:Q04771	unknown	slk2
uniprot:O15105	uniprot:Q04771	0624(stimulation)	slk2
uniprot:P36897	uniprot:P37023	unknown	slk2
uniprot:P36897	uniprot:P37023	0624(stimulation)	slk2
uniprot:O15169	uniprot:P84022	unknown	slk2
uniprot:O15169	uniprot:P84022	0624(stimulation)	slk2
uniprot:P15056	uniprot:Q02750	unknown	slk2
uniprot:P15056	uniprot:Q02750	0624(stimulation)	slk2
uniprot:P27361	uniprot:Q15797	unknown	slk2
uniprot:P27361	uniprot:Q15797	0624(stimulation)	slk2
uniprot:O43541	uniprot:Q15797	unknown	slk2
uniprot:O43541	uniprot:Q15797	0624(stimulation)	slk2
uniprot:O15105	uniprot:P84022	unknown	slk2
uniprot:O15105	uniprot:P84022	0624(stimulation)	slk2
uniprot:P28482	uniprot:P01106	unknown	slk2
uniprot:P28482	uniprot:P01106	0624(stimulation)	slk2
uniprot:P49841	uniprot:P84022	unknown	slk2
uniprot:P49841	uniprot:P84022	0624(stimulation)	slk2
uniprot:P28482	uniprot:P04049	unknown	slk2
uniprot:P28482	uniprot:P04049	0624(stimulation)	slk2
uniprot:O15530	uniprot:P31751	unknown	slk2
uniprot:O15530	uniprot:P31751	0624(stimulation)	slk2
uniprot:P03372	uniprot:P05019	unknown	slk2
uniprot:P03372	uniprot:P05019	0624(stimulation)	slk2
uniprot:P60484	uniprot:P31751	unknown	slk2
uniprot:P60484	uniprot:P31751	0623(inhibition)	slk2
uniprot:P31749	uniprot:P84022	unknown	slk2
